run_id,phase,time_s,voltage_v,current_a,power_w,energy_j
SNTRUP761_run09,active,0.000492,5.395,0.574842,3.101273,3.3e-05
SNTRUP761_run09,active,0.013339,5.39625,0.56322,3.039276,0.039079
SNTRUP761_run09,active,0.026103,5.39625,0.566796,3.058573,0.078119
SNTRUP761_run09,active,0.038895,5.39875,0.563399,3.041649,0.117027
SNTRUP761_run09,active,0.051643,5.39875,0.582709,3.145901,0.157131
SNTRUP761_run09,active,0.064396,5.39625,0.585749,3.160847,0.197443
SNTRUP761_run09,active,0.077138,5.39625,0.590576,3.186898,0.238048
SNTRUP761_run09,active,0.089883,5.395,0.571087,3.081015,0.277316
SNTRUP761_run09,active,0.102644,5.39625,0.571087,3.081729,0.316642
SNTRUP761_run09,active,0.115389,5.3975,0.565723,3.053491,0.35556
SNTRUP761_run09,active,0.128133,5.395,0.564829,3.047254,0.394393
SNTRUP761_run09,active,0.140873,5.39875,0.587537,3.171964,0.434803
SNTRUP761_run09,active,0.153615,5.3975,0.576988,3.114291,0.474488
SNTRUP761_run09,active,0.166358,5.3975,0.565366,3.051561,0.513372
SNTRUP761_run09,active,0.179097,5.39625,0.565187,3.049889,0.552225
SNTRUP761_run09,active,0.191836,5.39125,0.564472,3.043208,0.590994
SNTRUP761_run09,active,0.204596,5.395,0.565008,3.048218,0.629887
SNTRUP761_run09,active,0.217344,5.39625,0.593974,3.20523,0.670749
SNTRUP761_run09,active,0.230086,5.395,0.571981,3.085839,0.710068
SNTRUP761_run09,active,0.242853,5.395,0.56322,3.038572,0.748863
SNTRUP761_run09,active,0.255592,5.3975,0.565187,3.050596,0.787724
SNTRUP761_run09,active,0.268337,5.3975,0.565723,3.053491,0.826641
SNTRUP761_run09,active,0.281079,5.39625,0.565544,3.051819,0.865526
SNTRUP761_run09,active,0.293823,5.39875,0.58253,3.144936,0.905604
SNTRUP761_run09,active,0.306572,5.39625,0.56465,3.046995,0.94445
SNTRUP761_run09,active,0.319317,5.395,0.566796,3.057864,0.983423
SNTRUP761_run09,active,0.332059,5.395,0.565187,3.049183,1.022275
SNTRUP761_run09,active,0.344801,5.39875,0.565902,3.055163,1.061206
SNTRUP761_run09,active,0.357567,5.39875,0.571266,3.084122,1.100578
SNTRUP761_run09,active,0.370318,5.3975,0.492952,2.660706,1.134505
SNTRUP761_run09,active,0.383057,5.3925,0.478826,2.582071,1.167396
SNTRUP761_run09,active,0.395797,5.3975,0.487051,2.628859,1.200889
SNTRUP761_run09,active,0.408545,5.395,0.47972,2.588092,1.233881
SNTRUP761_run09,active,0.421294,5.3975,0.479542,2.588326,1.266879
SNTRUP761_run09,active,0.434038,5.39,0.478648,2.579911,1.29976
SNTRUP761_run09,active,0.446779,5.3975,0.47829,2.58157,1.332652
SNTRUP761_run09,active,0.459519,5.39875,0.492952,2.661322,1.366555
SNTRUP761_run09,active,0.47226,5.3975,0.553028,2.984971,1.404586
SNTRUP761_run09,active,0.484999,5.3975,0.562862,3.03805,1.44329
SNTRUP761_run09,active,0.497741,5.39625,0.582352,3.142515,1.483332
SNTRUP761_run09,active,0.51049,5.3975,0.592364,3.197287,1.524092
SNTRUP761_run09,active,0.523234,5.3975,0.566081,3.055421,1.563031
SNTRUP761_run09,active,0.535973,5.385,0.565723,3.046419,1.60184
SNTRUP761_run09,active,0.548716,5.39375,0.565902,3.052334,1.640734
SNTRUP761_run09,active,0.561458,5.395,0.568048,3.064617,1.679784
SNTRUP761_run09,active,0.574199,5.39625,0.582173,3.14155,1.719812
SNTRUP761_run09,active,0.586938,5.395,0.594689,3.208346,1.760681
SNTRUP761_run09,active,0.599679,5.39625,0.566438,3.056643,1.799627
SNTRUP761_run09,active,0.612427,5.39625,0.565187,3.049889,1.838507
SNTRUP761_run09,active,0.625173,5.395,0.564829,3.047254,1.877347
SNTRUP761_run09,active,0.637916,5.385,0.574663,3.094561,1.916781
SNTRUP761_run09,active,0.65066,5.39625,0.583424,3.148304,1.956902
SNTRUP761_run09,active,0.663407,5.39375,0.595046,3.209532,1.997814
SNTRUP761_run09,active,0.676191,5.3925,0.563041,3.0362,2.03663
SNTRUP761_run09,active,0.688931,5.3975,0.563578,3.04191,2.075385
SNTRUP761_run09,active,0.701674,5.3975,0.565723,3.053491,2.114293
SNTRUP761_run09,active,0.714422,5.39875,0.566081,3.056129,2.153253
SNTRUP761_run09,active,0.727163,5.39625,0.585749,3.160847,2.193527
SNTRUP761_run09,active,0.739903,5.3825,0.589325,3.172041,2.233937
SNTRUP761_run09,active,0.752643,5.4,0.565902,3.055871,2.27287
SNTRUP761_run09,active,0.765383,5.3925,0.565902,3.051627,2.311748
SNTRUP761_run09,active,0.778126,5.3975,0.565008,3.049631,2.350609
SNTRUP761_run09,active,0.790888,5.395,0.565723,3.052077,2.389561
SNTRUP761_run09,active,0.803629,5.4,0.580564,3.135043,2.429504
SNTRUP761_run09,active,0.816376,5.3975,0.578597,3.122976,2.469311
SNTRUP761_run09,active,0.829121,5.395,0.566081,3.054006,2.508236
SNTRUP761_run09,active,0.841864,5.3825,0.56626,3.047892,2.547076
SNTRUP761_run09,active,0.854606,5.39625,0.566081,3.054714,2.585999
SNTRUP761_run09,active,0.86736,5.39875,0.566081,3.056129,2.624976
SNTRUP761_run09,active,0.880109,5.39125,0.582352,3.139603,2.665003
SNTRUP761_run09,active,0.892853,5.3975,0.569299,3.072792,2.704163
SNTRUP761_run09,active,0.905598,5.3975,0.566617,3.058316,2.743141
SNTRUP761_run09,active,0.918346,5.38625,0.565544,3.046164,2.781972
SNTRUP761_run09,active,0.93125,5.39375,0.565544,3.050405,2.821335
SNTRUP761_run09,active,0.944043,5.3925,0.562505,3.033307,2.86014
SNTRUP761_run09,active,0.956787,5.3975,0.58253,3.144208,2.90021
SNTRUP761_run09,active,0.969564,5.3975,0.592901,3.200182,2.9411
SNTRUP761_run09,active,0.982316,5.39875,0.568584,3.069643,2.980242
SNTRUP761_run09,active,0.995055,5.3975,0.568584,3.068932,3.019339
SNTRUP761_run09,active,1.007798,5.39625,0.567511,3.062432,3.058361
SNTRUP761_run09,active,1.020549,5.3975,0.572339,3.089199,3.097752
SNTRUP761_run09,active,1.033294,5.39625,0.579491,3.127077,3.137608
SNTRUP761_run09,active,1.046038,5.395,0.593795,3.203523,3.178433
SNTRUP761_run09,active,1.058778,5.39625,0.565723,3.052784,3.217325
SNTRUP761_run09,active,1.071516,5.39625,0.565544,3.051819,3.256201
SNTRUP761_run09,active,1.084257,5.4,0.565902,3.055871,3.295135
SNTRUP761_run09,active,1.096997,5.3925,0.580027,3.127797,3.334983
SNTRUP761_run09,active,1.109737,5.3975,0.584676,3.155789,3.375188
SNTRUP761_run09,active,1.122484,5.39875,0.592186,3.197062,3.41594
SNTRUP761_run09,active,1.135227,5.39375,0.565902,3.052334,3.454836
SNTRUP761_run09,active,1.147967,5.395,0.565544,3.051112,3.493706
SNTRUP761_run09,active,1.160708,5.3975,0.56626,3.056386,3.532648
SNTRUP761_run09,active,1.173448,5.3975,0.58253,3.144208,3.572707
SNTRUP761_run09,active,1.186192,5.3975,0.587358,3.170265,3.613107
SNTRUP761_run09,active,1.19893,5.39625,0.582888,3.145409,3.653174
SNTRUP761_run09,active,1.211668,5.3975,0.565723,3.053491,3.692069
SNTRUP761_run09,active,1.224414,5.3975,0.566438,3.057351,3.731038
SNTRUP761_run09,active,1.237157,5.39625,0.565187,3.049889,3.769903
SNTRUP761_run09,active,1.249898,5.395,0.582709,3.143716,3.809958
SNTRUP761_run09,active,1.262637,5.39875,0.590219,3.186444,3.850549
SNTRUP761_run09,active,1.277856,5.39625,0.590755,3.187863,3.899067
SNTRUP761_run09,active,1.290613,5.3975,0.572696,3.091129,3.9385
SNTRUP761_run09,active,1.303359,5.39625,0.563399,3.040241,3.97725
SNTRUP761_run09,active,1.316099,5.3975,0.56626,3.056386,4.016187
SNTRUP761_run09,active,1.328847,5.39625,0.56465,3.046995,4.055031
SNTRUP761_run09,active,1.341593,5.4,0.583424,3.150492,4.095189
SNTRUP761_run09,active,1.354335,5.385,0.588073,3.166774,4.135538
SNTRUP761_run09,active,1.367072,5.39625,0.564472,3.04603,4.174337
SNTRUP761_run09,active,1.379811,5.39625,0.565544,3.051819,4.213215
SNTRUP761_run09,active,1.392559,5.3975,0.565366,3.051561,4.252114
SNTRUP761_run09,active,1.4053,5.39125,0.565187,3.047063,4.290938
SNTRUP761_run09,active,1.418042,5.3975,0.570908,3.081478,4.330202
SNTRUP761_run09,active,1.430787,5.39625,0.593258,3.201371,4.371004
SNTRUP761_run09,active,1.443531,5.3925,0.565723,3.050662,4.40988
SNTRUP761_run09,active,1.456272,5.38125,0.565544,3.043336,4.448655
SNTRUP761_run09,active,1.469012,5.39625,0.565187,3.049889,4.487512
SNTRUP761_run09,active,1.481753,5.39875,0.565544,3.053233,4.526413
SNTRUP761_run09,active,1.494494,5.39875,0.577166,3.115977,4.566115
SNTRUP761_run09,active,1.507231,5.39625,0.593258,3.201371,4.60689
SNTRUP761_run09,active,1.51997,5.395,0.566438,3.055935,4.645819
SNTRUP761_run09,active,1.532717,5.39625,0.565723,3.052784,4.684732
SNTRUP761_run09,active,1.545461,5.395,0.565544,3.051112,4.723616
SNTRUP761_run09,active,1.558203,5.395,0.565187,3.049183,4.762469
SNTRUP761_run09,active,1.570942,5.3975,0.583961,3.151928,4.802622
SNTRUP761_run09,active,1.583682,5.39375,0.587179,3.167098,4.84297
SNTRUP761_run09,active,1.596423,5.39875,0.566081,3.056129,4.881907
SNTRUP761_run09,active,1.609164,5.39625,0.566975,3.059538,4.920888
SNTRUP761_run09,active,1.621906,5.39625,0.564829,3.04796,4.959725
SNTRUP761_run09,active,1.634653,5.395,0.565366,3.050147,4.998608
SNTRUP761_run09,active,1.647397,5.39875,0.585212,3.159415,5.038871
SNTRUP761_run09,active,1.660168,5.3975,0.59004,3.184741,5.079544
SNTRUP761_run09,active,1.672909,5.39625,0.573054,3.092343,5.118942
SNTRUP761_run09,active,1.685651,5.3975,0.56322,3.03998,5.157678
SNTRUP761_run09,active,1.698391,5.395,0.565187,3.049183,5.196526
SNTRUP761_run09,active,1.711132,5.39625,0.564472,3.04603,5.235333
SNTRUP761_run09,active,1.723872,5.3975,0.581815,3.140348,5.275342
SNTRUP761_run09,active,1.736612,5.39625,0.592543,3.197511,5.316077
SNTRUP761_run09,active,1.749358,5.3975,0.566796,3.059281,5.355072
SNTRUP761_run09,active,1.762102,5.39625,0.565366,3.050854,5.393952
SNTRUP761_run09,active,1.77487,5.39375,0.566438,3.055227,5.43296
SNTRUP761_run09,active,1.787609,5.3975,0.568584,3.068932,5.472055
SNTRUP761_run09,active,1.80035,5.39625,0.58253,3.14348,5.512106
SNTRUP761_run09,active,1.813092,5.39625,0.592901,3.199441,5.552876
SNTRUP761_run09,active,1.825834,5.3975,0.566081,3.055421,5.591806
SNTRUP761_run09,active,1.838582,5.3975,0.566438,3.057351,5.630781
SNTRUP761_run09,active,1.851326,5.39625,0.565544,3.051819,5.669674
SNTRUP761_run09,active,1.864073,5.40375,0.571266,3.086979,5.709024
SNTRUP761_run09,active,1.876825,5.39625,0.58414,3.152163,5.74922
SNTRUP761_run09,active,1.889571,5.39875,0.59147,3.193201,5.78992
SNTRUP761_run09,active,1.90232,5.3975,0.563935,3.04384,5.828728
SNTRUP761_run09,active,1.915058,5.39375,0.562684,3.034975,5.867386
SNTRUP761_run09,active,1.927798,5.39625,0.563756,3.04217,5.906143
SNTRUP761_run09,active,1.940547,5.3975,0.583067,3.147103,5.946266
SNTRUP761_run09,active,1.953292,5.39875,0.585034,3.15845,5.986522
SNTRUP761_run09,active,1.966035,5.3975,0.591113,3.190531,6.027176
SNTRUP761_run09,active,1.978776,5.39625,0.566081,3.054714,6.066097
SNTRUP761_run09,active,1.991515,5.39625,0.565544,3.051819,6.104973
SNTRUP761_run09,active,2.004254,5.40625,0.565544,3.057474,6.143924
SNTRUP761_run09,active,2.016994,5.39625,0.581636,3.138655,6.18391
SNTRUP761_run09,active,2.029735,5.395,0.589682,3.181337,6.224443
SNTRUP761_run09,active,2.042482,5.39625,0.580742,3.133831,6.264389
SNTRUP761_run09,active,2.055223,5.395,0.568405,3.066546,6.303461
SNTRUP761_run09,active,2.067964,5.39625,0.566438,3.056643,6.342407
SNTRUP761_run09,active,2.080704,5.395,0.565723,3.052077,6.381289
SNTRUP761_run09,active,2.093443,5.3975,0.568584,3.068932,6.420386
SNTRUP761_run09,active,2.106187,5.39625,0.591649,3.192687,6.461071
SNTRUP761_run09,active,2.118925,5.39625,0.572339,3.088483,6.500412
SNTRUP761_run09,active,2.131663,5.3975,0.566617,3.058316,6.539369
SNTRUP761_run09,active,2.144409,5.3975,0.567332,3.062177,6.578401
SNTRUP761_run09,active,2.157152,5.39875,0.565366,3.052268,6.617296
SNTRUP761_run09,active,2.169893,5.39625,0.564293,3.045065,6.656091
SNTRUP761_run09,active,2.182638,5.39625,0.59308,3.200406,6.696883
SNTRUP761_run09,active,2.195378,5.39625,0.567332,3.061467,6.735884
SNTRUP761_run09,active,2.208117,5.3975,0.567511,3.063142,6.774907
SNTRUP761_run09,active,2.220857,5.3975,0.565544,3.052526,6.813795
SNTRUP761_run09,active,2.2336,5.39625,0.568405,3.067257,6.852881
SNTRUP761_run09,active,2.246346,5.39625,0.571266,3.082694,6.892173
SNTRUP761_run09,active,2.25909,5.39625,0.582709,3.144445,6.932247
SNTRUP761_run09,active,2.271831,5.39625,0.566438,3.056643,6.971191
SNTRUP761_run09,active,2.28457,5.4,0.566617,3.059733,7.010171
SNTRUP761_run09,active,2.297311,5.39625,0.566081,3.054714,7.049088
SNTRUP761_run09,active,2.310053,5.4025,0.56465,3.050524,7.087958
SNTRUP761_run09,active,2.322796,5.3975,0.578239,3.121046,7.127731
SNTRUP761_run09,active,2.335535,5.395,0.58414,3.151433,7.167878
SNTRUP761_run09,active,2.348281,5.39625,0.567332,3.061467,7.206899
SNTRUP761_run09,active,2.361025,5.39625,0.565902,3.053749,7.245815
SNTRUP761_run09,active,2.373767,5.39875,0.565544,3.053233,7.28472
SNTRUP761_run09,active,2.386509,5.39375,0.565544,3.050405,7.323587
SNTRUP761_run09,active,2.399248,5.39625,0.583961,3.151198,7.36373
SNTRUP761_run09,active,2.411994,5.39625,0.586643,3.165671,7.404081
SNTRUP761_run09,active,2.424736,5.4,0.586643,3.167871,7.444444
SNTRUP761_run09,active,2.437474,5.39625,0.566438,3.056643,7.483382
SNTRUP761_run09,active,2.450224,5.395,0.566081,3.054006,7.522318
SNTRUP761_run09,active,2.462967,5.3975,0.566081,3.055421,7.561255
SNTRUP761_run09,active,2.475708,5.38875,0.581994,3.13622,7.601213
SNTRUP761_run09,active,2.488449,5.39625,0.59004,3.184003,7.64178
SNTRUP761_run09,active,2.501189,5.39625,0.576272,3.10971,7.681397
SNTRUP761_run09,active,2.513932,5.39375,0.565544,3.050405,7.720269
SNTRUP761_run09,active,2.526674,5.39625,0.565544,3.051819,7.759155
SNTRUP761_run09,active,2.539412,5.39625,0.564829,3.04796,7.797981
SNTRUP761_run09,active,2.554886,5.39375,0.559823,3.019544,7.844706
SNTRUP761_run09,active,2.567659,5.3975,0.584497,3.154824,7.885001
SNTRUP761_run09,active,2.580404,5.39625,0.593616,3.2033,7.925829
SNTRUP761_run09,active,2.593146,5.39875,0.566975,3.060955,7.964832
SNTRUP761_run09,active,2.605887,5.39625,0.566975,3.059538,8.003814
SNTRUP761_run09,active,2.618629,5.3975,0.565723,3.053491,8.042718
SNTRUP761_run09,active,2.631367,5.3975,0.569478,3.073758,8.081873
SNTRUP761_run09,active,2.644109,5.39375,0.583067,3.144917,8.121945
SNTRUP761_run09,active,2.656863,5.39625,0.59147,3.191722,8.162652
SNTRUP761_run09,active,2.669611,5.39625,0.563935,3.043135,8.201446
SNTRUP761_run09,active,2.682351,5.39625,0.564293,3.045065,8.24024
SNTRUP761_run09,active,2.695089,5.39875,0.562862,3.038753,8.278949
SNTRUP761_run09,active,2.707829,5.3975,0.574127,3.098849,8.318429
SNTRUP761_run09,active,2.720568,5.39625,0.583424,3.148304,8.358535
SNTRUP761_run09,active,2.733307,5.39625,0.593258,3.201371,8.399315
SNTRUP761_run09,active,2.746048,5.3875,0.563935,3.038201,8.438027
SNTRUP761_run09,active,2.758795,5.39875,0.566438,3.058059,8.477008
SNTRUP761_run09,active,2.771539,5.3975,0.565544,3.052526,8.515908
SNTRUP761_run09,active,2.784279,5.39625,0.569836,3.074975,8.555084
SNTRUP761_run09,active,2.797019,5.3975,0.58557,3.160614,8.595351
SNTRUP761_run09,active,2.809761,5.395,0.590755,3.187124,8.635961
SNTRUP761_run09,active,2.822502,5.39625,0.565902,3.053749,8.674867
SNTRUP761_run09,active,2.83524,5.4,0.562147,3.035595,8.713536
SNTRUP761_run09,active,2.84798,5.39875,0.566081,3.056129,8.75247
SNTRUP761_run09,active,2.860732,5.39875,0.565544,3.053233,8.791404
SNTRUP761_run09,active,2.873491,5.39625,0.587179,3.168566,8.831832
SNTRUP761_run09,active,2.886234,5.3975,0.578239,3.121046,8.871605
SNTRUP761_run09,active,2.898973,5.3975,0.566081,3.055421,8.910528
SNTRUP761_run09,active,2.911712,5.39625,0.565723,3.052784,8.949416
SNTRUP761_run09,active,2.924459,5.3975,0.566438,3.057351,8.988389
SNTRUP761_run09,active,2.937202,5.3975,0.565544,3.052526,9.027287
SNTRUP761_run09,active,2.949944,5.3975,0.61686,3.329502,9.069711
SNTRUP761_run09,active,2.962691,5.39625,0.570014,3.07594,9.108922
SNTRUP761_run09,active,2.975463,5.39875,0.56465,3.048406,9.147856
SNTRUP761_run09,active,2.988208,5.39625,0.568048,3.065327,9.186923
SNTRUP761_run09,active,3.000949,5.395,0.565723,3.052077,9.225808
SNTRUP761_run09,active,3.01369,5.39625,0.566617,3.057608,9.264767
SNTRUP761_run09,active,3.02643,5.39,0.583067,3.14273,9.304804
SNTRUP761_run09,active,3.039169,5.395,0.593795,3.203523,9.345613
SNTRUP761_run09,active,3.051908,5.39625,0.566081,3.054714,9.384529
SNTRUP761_run09,active,3.064655,5.395,0.565723,3.052077,9.423433
SNTRUP761_run09,active,3.077399,5.39625,0.565544,3.051819,9.462326
SNTRUP761_run09,active,3.090143,5.3975,0.573233,3.094024,9.501755
SNTRUP761_run09,active,3.102883,5.3975,0.583424,3.149033,9.541876
SNTRUP761_run09,active,3.115625,5.4075,0.594152,3.212879,9.582812
SNTRUP761_run09,active,3.128362,5.39625,0.566617,3.057608,9.621759
SNTRUP761_run09,active,3.141107,5.39625,0.566081,3.054714,9.660691
SNTRUP761_run09,active,3.153853,5.39625,0.565902,3.053749,9.699613
SNTRUP761_run09,active,3.1666,5.39125,0.582888,3.142495,9.739669
SNTRUP761_run09,active,3.179343,5.39625,0.585034,3.156988,9.779901
SNTRUP761_run09,active,3.192084,5.39625,0.590219,3.184968,9.820479
SNTRUP761_run09,active,3.204824,5.395,0.570908,3.080051,9.85972
SNTRUP761_run09,active,3.217566,5.3975,0.565723,3.053491,9.898629
SNTRUP761_run09,active,3.230309,5.39625,0.565723,3.052784,9.93753
SNTRUP761_run09,active,3.243047,5.39625,0.583782,3.150234,9.977657
SNTRUP761_run09,active,3.255786,5.39875,0.590576,3.188374,10.018274
SNTRUP761_run09,active,3.268534,5.39625,0.582173,3.14155,10.058322
SNTRUP761_run09,active,3.281279,5.39625,0.566081,3.054714,10.097253
SNTRUP761_run09,active,3.294025,5.3975,0.566617,3.058316,10.136235
SNTRUP761_run09,active,3.306766,5.39625,0.568226,3.066292,10.175302
SNTRUP761_run09,active,3.319505,5.39625,0.583067,3.146374,10.215384
SNTRUP761_run09,active,3.332247,5.3975,0.592007,3.195357,10.2561
SNTRUP761_run09,active,3.344992,5.3975,0.575378,3.105605,10.29568
SNTRUP761_run09,active,3.357734,5.3975,0.565902,3.054456,10.334602
SNTRUP761_run09,active,3.370481,5.3975,0.565902,3.054456,10.373536
SNTRUP761_run09,active,3.383225,5.39625,0.563578,3.041206,10.412293
SNTRUP761_run09,active,3.395965,5.39625,0.580206,3.130937,10.452182
SNTRUP761_run09,active,3.408705,5.3975,0.597192,3.223344,10.493248
SNTRUP761_run09,active,3.421444,5.39875,0.566081,3.056129,10.532177
SNTRUP761_run09,active,3.434185,5.3975,0.564829,3.048666,10.571021
SNTRUP761_run09,active,3.446927,5.4,0.567332,3.063595,10.610057
SNTRUP761_run09,active,3.459668,5.39625,0.566081,3.054714,10.648978
SNTRUP761_run09,active,3.472414,5.39625,0.582709,3.144445,10.689057
SNTRUP761_run09,active,3.485159,5.40375,0.592543,3.201955,10.729866
SNTRUP761_run09,active,3.497901,5.39625,0.56626,3.055678,10.768801
SNTRUP761_run09,active,3.51064,5.395,0.566081,3.054006,10.807705
SNTRUP761_run09,active,3.523385,5.395,0.565902,3.053041,10.846619
SNTRUP761_run09,active,3.536131,5.405,0.565723,3.057734,10.88559
SNTRUP761_run09,active,3.548872,5.3975,0.742199,4.006018,10.936631
SNTRUP761_run09,active,3.561615,5.3975,0.595046,3.211763,10.97756
SNTRUP761_run09,active,3.574363,5.3975,0.566081,3.055421,11.016509
SNTRUP761_run09,active,3.587105,5.4,0.56626,3.057802,11.055472
SNTRUP761_run09,active,3.599845,5.39875,0.565723,3.054198,11.094384
SNTRUP761_run09,active,3.612587,5.3975,0.566081,3.055421,11.133315
SNTRUP761_run09,active,3.625326,5.3975,0.584318,3.153859,11.173493
SNTRUP761_run09,active,3.638068,5.3975,0.586464,3.165439,11.213826
SNTRUP761_run09,active,3.65081,5.39625,0.563935,3.043135,11.252601
SNTRUP761_run09,active,3.663548,5.39375,0.563399,3.038832,11.291311
SNTRUP761_run09,active,3.676296,5.39625,0.568048,3.065327,11.330387
SNTRUP761_run09,active,3.689041,5.39625,0.566617,3.057608,11.369356
SNTRUP761_run09,active,3.701784,5.39625,0.582888,3.145409,11.409439
SNTRUP761_run09,active,3.714525,5.39625,0.592364,3.196546,11.450164
SNTRUP761_run09,active,3.727264,5.395,0.569478,3.072334,11.489304
SNTRUP761_run09,active,3.740006,5.39375,0.56626,3.054263,11.528222
SNTRUP761_run09,active,3.75274,5.39625,0.566438,3.056643,11.567145
SNTRUP761_run09,active,3.765482,5.39,0.563756,3.038647,11.605862
SNTRUP761_run09,active,3.778231,5.3975,0.582352,3.143243,11.645937
SNTRUP761_run09,active,3.790974,5.3975,0.595404,3.213693,11.68689
SNTRUP761_run09,active,3.803714,5.39625,0.566438,3.056643,11.72583
SNTRUP761_run09,active,3.816454,5.395,0.567154,3.059794,11.764811
SNTRUP761_run09,active,3.831835,5.3975,0.566081,3.055421,11.811806
SNTRUP761_run09,active,3.844602,5.3925,0.565723,3.050662,11.850755
SNTRUP761_run09,active,3.857369,5.39375,0.569657,3.072586,11.889983
SNTRUP761_run09,active,3.870133,5.39625,0.583603,3.149269,11.930181
SNTRUP761_run09,active,3.882912,5.3975,0.596834,3.221414,11.971346
SNTRUP761_run09,active,3.89566,5.3975,0.568226,3.067002,12.010445
SNTRUP761_run09,active,3.908402,5.3975,0.566975,3.060246,12.04944
SNTRUP761_run09,active,3.921143,5.39625,0.565723,3.052784,12.088335
SNTRUP761_run09,active,3.933888,5.39625,0.575557,3.105851,12.127916
SNTRUP761_run09,active,3.946629,5.3975,0.583961,3.151928,12.168077
SNTRUP761_run09,active,3.959373,5.3975,0.594152,3.206938,12.208947
SNTRUP761_run09,active,3.972115,5.3975,0.566617,3.058316,12.247916
SNTRUP761_run09,active,3.984862,5.39625,0.563578,3.041206,12.286682
SNTRUP761_run09,active,3.997608,5.3975,0.564829,3.048666,12.325538
SNTRUP761_run09,active,4.01035,5.3975,0.58253,3.144208,12.365603
SNTRUP761_run09,active,4.023089,5.3975,0.585212,3.158684,12.405842
SNTRUP761_run09,active,4.03583,5.3975,0.589146,3.179916,12.446357
SNTRUP761_run09,active,4.048569,5.3975,0.565902,3.054456,12.485269
SNTRUP761_run09,active,4.061312,5.3975,0.565544,3.052526,12.524165
SNTRUP761_run09,active,4.074055,5.3975,0.568763,3.069897,12.563287
SNTRUP761_run09,active,4.086804,5.395,0.583782,3.149504,12.603438
SNTRUP761_run09,active,4.099547,5.39625,0.588431,3.17532,12.643901
SNTRUP761_run09,active,4.112287,5.39875,0.5811,3.137214,12.683869
SNTRUP761_run09,active,4.125027,5.39875,0.566081,3.056129,12.722805
SNTRUP761_run09,active,4.137769,5.4,0.565902,3.055871,12.761744
SNTRUP761_run09,active,4.150512,5.3975,0.56626,3.056386,12.800689
SNTRUP761_run09,active,4.163251,5.39625,0.583246,3.147339,12.840784
SNTRUP761_run09,active,4.175992,5.3975,0.596477,3.219484,12.881804
SNTRUP761_run09,active,4.18874,5.39625,0.573769,3.096202,12.921275
SNTRUP761_run09,active,4.201484,5.3975,0.565723,3.053491,12.960188
SNTRUP761_run09,active,4.214227,5.3975,0.565723,3.053491,12.9991
SNTRUP761_run09,active,4.226967,5.39875,0.568405,3.068678,13.038194
SNTRUP761_run09,active,4.239708,5.3975,0.564829,3.048666,13.077037
SNTRUP761_run09,active,4.25245,5.39625,0.596119,3.216808,13.118025
SNTRUP761_run09,active,4.26519,5.39125,0.565008,3.046099,13.156832
SNTRUP761_run09,active,4.277932,5.39625,0.566438,3.056643,13.19578
SNTRUP761_run09,active,4.290681,5.3975,0.566081,3.055421,13.234733
SNTRUP761_run09,active,4.303425,5.3975,0.565544,3.052526,13.273636
SNTRUP761_run09,active,4.316209,5.4025,0.575378,3.108482,13.313373
SNTRUP761_run09,active,4.328952,5.39875,0.583603,3.150728,13.353525
SNTRUP761_run09,active,4.341697,5.3975,0.566438,3.057351,13.39249
SNTRUP761_run09,active,4.354438,5.395,0.566081,3.054006,13.431401
SNTRUP761_run09,active,4.36718,5.405,0.563399,3.045171,13.470203
SNTRUP761_run09,active,4.379921,5.3975,0.565723,3.053491,13.509106
SNTRUP761_run09,active,4.392668,5.3975,0.578239,3.121046,13.548891
SNTRUP761_run09,active,4.405412,5.3975,0.585034,3.157719,13.589133
SNTRUP761_run09,active,4.418155,5.3975,0.56465,3.047701,13.62797
SNTRUP761_run09,active,4.430897,5.39625,0.566081,3.054714,13.666892
SNTRUP761_run09,active,4.443638,5.395,0.565723,3.052077,13.705778
SNTRUP761_run09,active,4.45637,5.395,0.56465,3.046289,13.744565
SNTRUP761_run09,active,4.469115,5.39625,0.583603,3.149269,13.784703
SNTRUP761_run09,active,4.481857,5.3975,0.586822,3.16737,13.82506
SNTRUP761_run09,active,4.494604,5.3975,0.591292,3.191496,13.865743
SNTRUP761_run09,active,4.507348,5.39625,0.568405,3.067257,13.904832
SNTRUP761_run09,active,4.520088,5.3975,0.56626,3.056386,13.94377
SNTRUP761_run09,active,4.532828,5.3925,0.565723,3.050662,13.982637
SNTRUP761_run09,active,4.545581,5.39,0.583782,3.146585,14.022765
SNTRUP761_run09,active,4.55832,5.395,0.589682,3.181337,14.063291
SNTRUP761_run09,active,4.571061,5.39625,0.576809,3.112604,14.102947
SNTRUP761_run09,active,4.583799,5.3975,0.565723,3.053491,14.141845
SNTRUP761_run09,active,4.596547,5.39375,0.566438,3.055227,14.180791
SNTRUP761_run09,active,4.60929,5.395,0.565187,3.049183,14.219647
SNTRUP761_run09,active,4.622031,5.395,0.583067,3.145645,14.259726
SNTRUP761_run09,active,4.634767,5.395,0.594152,3.205452,14.300551
SNTRUP761_run09,active,4.647508,5.39875,0.57073,3.081226,14.339809
SNTRUP761_run09,active,4.660251,5.39875,0.565723,3.054198,14.378728
SNTRUP761_run09,active,4.67299,5.3975,0.566438,3.057351,14.417677
SNTRUP761_run09,active,4.685733,5.39875,0.566796,3.05999,14.456668
SNTRUP761_run09,active,4.69848,5.395,0.583246,3.14661,14.496779
